Code de la commune,Nom de la commune,Nature de la modification,date d'effet ,Code commune associée,Ancien code de la commune
02394,Jouy,Fusion (commune absorbée),25-02-1971,02008,
02436,Lombray,Fusion (commune absorbée),01-07-1971,02140,
02437,Longchamps,Fusion (commune absorbée),01-01-1971,02757,
02439,Longueval-Barbonval,Fusion (commune absorbante),01-01-1971,02045,
02524,Charmont-sur-Marne,Fusion (commune absorbante),01-10-1974,02166,
02524,Charmont-sur-Marne,Commune se séparant,01-01-1978,02166,
02559,Nouvion-et-Catillon,Fusion (commune absorbante),01-01-1979,02611,
02580,Oulchy-le-Château,Fusion (commune absorbante),31-12-1976,02247,
02603,Pisseleux,Fusion (commune absorbée),01-07-1971,02810,
02611,Pont-à-Bucy,Fusion (commune absorbée),01-01-1979,02559,
02630,Quessy,Fusion (commune absorbée),01-01-1992,02738,
02700,Sart,Fusion (commune absorbée),01-05-1972,02308,
02738,Tergnier,Fusion (commune absorbante),01-01-1974,02300,
02738,Tergnier,Fusion (commune absorbante),01-01-1974,02825,
02738,Tergnier,Fusion (commune absorbante),01-01-1992,02630,
02757,Vadencourt,Fusion (commune absorbante),01-01-1971,02437,
02810,Villers-Cotterêts,Fusion (commune absorbante),01-07-1971,02603,
02825,Vouël,Fusion (commune absorbée),01-01-1974,02738,
03199,Neuville,Fusion (commune absorbée),01-03-1972,03315,
03315,Villefranche-d'Allier,Fusion (commune absorbante),01-03-1972,03199,
04002,Ainac,Fusion (commune absorbée),01-04-1973,04167,
04003,Albiosc,Fusion (commune absorbée),15-04-1973,04081,
04009,Archail,Fusion (commune absorbée),01-07-1973,04072,
04009,Archail,Rétablissement,01-01-1980,04072,
04010,Argens,Fusion (commune absorbée),01-01-1974,04136,
04011,Astoin,Fusion (commune absorbée),01-04-1973,04023,
04014,Augès,Fusion (commune absorbée),01-01-1974,04109,
04015,Auribeau,Fusion (commune absorbée),01-09-1973,04177,
04023,Bayons,Fusion (commune absorbante),01-04-1973,04011,
04023,Bayons,Fusion (commune absorbante),01-04-1973,04082,
04023,Bayons,Fusion (commune absorbante),01-04-1973,04165,
04029,Blégiers,Fusion (commune absorbée),01-01-1978,04155,
04038,Carniol,Fusion (commune absorbée),01-03-1974,04208,
04039,Castellane,Fusion (commune absorbante),01-07-1973,04048,
04039,Castellane,Fusion (commune absorbante),01-07-1973,04078,
04039,Castellane,Fusion (commune absorbante),01-07-1973,04168,
04039,Castellane,Fusion (commune absorbante),01-07-1973,04212,
04039,Castellane,Fusion (commune absorbante),01-07-1973,04215,
04040,Castellard-Melan,Fusion (commune absorbante),01-04-1973,04117,
04043,Val-de-Chalvagne,Fusion (commune absorbante),01-01-1974,04125,
04043,Val-de-Chalvagne,Fusion (commune absorbante),01-01-1974,04243,
04046,Chaffaut-Saint-Jurson,Fusion (commune absorbante),01-09-1973,04083,
04048,Chasteuil,Fusion (commune absorbée),01-07-1973,04039,
04052,Châteauneuf-lès-Moustiers,Fusion (commune absorbée),01-03-1974,04144,
04056,Chénerilles,Fusion (commune absorbée),01-01-1974,04108,
04060,Saint-Michel-Peyresq,Fusion (commune absorbée),01-03-1974,04219,
04070,Digne,Fusion (commune absorbante),01-03-1974,04071,
04071,Dourbes,Fusion (commune absorbée),01-03-1974,04070,
04072,Archail-Draix,Fusion (commune absorbante),01-07-1973,04009,
04072,Draix,Commune se séparant,01-01-1980,04009,
04075,Entrepierres,Fusion (commune absorbante),01-01-1974,04196,
04075,Entrepierres,Fusion (commune absorbante),01-01-1974,04238,
04078,Eoulx,Fusion (commune absorbée),01-07-1973,04039,
04080,Esclangon,Fusion (commune absorbée),01-04-1973,04097,
04081,Esparron-de-Verdon,Fusion (commune absorbante),15-04-1973,04003,
04082,Esparron-la-Bâtie,Fusion (commune absorbée),01-04-1973,04023,
04083,Espinouse,Fusion (commune absorbée),01-09-1973,04046,
04084,Estoublon,Fusion (commune absorbante),15-04-1973,04221,
04089,Fours,Fusion (commune absorbée),01-04-1973,04226,
04097,Javie,Fusion (commune absorbante),01-04-1973,04080,
04098,Lambert,Fusion (commune absorbée),01-04-1973,04167,
04105,Lincel,Fusion (commune absorbée),01-01-1974,04192,
04108,Malijai,Fusion (commune absorbante),01-01-1974,04056,
04109,Mallefougasse-Augès,Fusion (commune absorbante),01-01-1974,04014,
04112,Manosque,Fusion (commune absorbante),01-01-1975,04190,
04112,Manosque,Commune se séparant,12-06-1980,04190,
04114,Mariaud,Fusion (commune absorbée),01-04-1973,04155,
04117,Melan,Fusion (commune absorbée),01-04-1973,04040,
04119,Méolans,Fusion (commune absorbée),15-05-1973,04161,
04124,Montagnac-Montpezat,Fusion (commune absorbante),01-01-1974,04131,
04125,Montblanc,Fusion (commune absorbée),01-01-1974,04043,
04131,Montpezat,Fusion (commune absorbée),01-01-1974,04124,
04136,Mure-Argens,Fusion (commune absorbante),01-01-1974,04010,
04144,Palud-sur-Verdon,Fusion (commune absorbante),01-03-1974,04052,
04146,Pérusse,Fusion (commune absorbée),01-01-1974,04217,
04153,Poil,Fusion (commune absorbée),01-01-1974,04204,
04155,Prads,Fusion (commune absorbante),01-04-1973,04114,
04155,Prads-Haute-Bléone,Fusion (commune absorbante),01-01-1978,04029,
04161,Méolans-Revel,Fusion (commune absorbante),15-05-1973,04119,
04165,Reynier,Fusion (commune absorbée),01-04-1973,04023,
04167,Robine-sur-Galabre,Fusion (commune absorbante),01-04-1973,04002,
04167,Robine-sur-Galabre,Fusion (commune absorbante),01-04-1973,04098,
04167,Robine-sur-Galabre,Fusion (commune absorbante),01-04-1973,04213,
04168,Robion,Fusion (commune absorbée),01-07-1973,04039,
04177,Hautes-Duyes,Fusion (commune absorbante),01-09-1973,04015,
04190,Saint-Martin-les-Eaux,Fusion (commune absorbée),01-01-1975,04112,
04190,Saint-Martin-les-Eaux,Rétablissement,12-06-1980,04112,
04192,Saint-Michel-l'Observatoire,Fusion (commune absorbante),01-01-1974,04105,
04196,Saint-Symphorien,Fusion (commune absorbée),01-01-1974,04075,
04204,Senez,Fusion (commune absorbante),01-01-1974,04153,
04208,Simiane-la-Rotonde,Fusion (commune absorbante),01-03-1974,04038,
04208,Simiane-la-Rotonde,Fusion (commune absorbante),01-03-1974,04232,
04212,Taloire,Fusion (commune absorbée),01-07-1973,04039,
04213,Tanaron,Fusion (commune absorbée),01-04-1973,04167,
04215,Taulanne,Fusion (commune absorbée),01-07-1973,04039,
04217,Thoard,Fusion (commune absorbante),01-01-1974,04146,
04219,Thorame-Haute,Fusion (commune absorbante),01-03-1974,04060,
04221,Trévans,Fusion (commune absorbée),15-04-1973,04084,
04226,Uvernet-Fours,Fusion (commune absorbante),01-04-1973,04089,
04232,Valsaintes,Fusion (commune absorbée),01-03-1974,04208,
04238,Vilhosc,Fusion (commune absorbée),01-01-1974,04075,
04243,Villevieille,Fusion (commune absorbée),01-01-1974,04043,
05023,Briançon,Fusion (commune absorbante),01-06-1974,05109,
05023,Briançon,Commune se séparant,01-01-1989,05109,
05051,Étoile-Saint-Cyrice,Fusion (commune absorbante),01-01-1969,05137,
05061,Gap,Fusion (commune absorbante),01-01-1975,05125,
05109,Puy-Saint-Pierre,Fusion (commune absorbée),01-06-1974,05023,
05109,Puy-Saint-Pierre,Rétablissement,01-01-1989,05023,
05112,Rabou,Fusion (commune absorbée),01-01-1973,05123,
05112,Rabou,Rétablissement,14-02-1983,05123,
05123,Roche-des-Arnauds,Fusion (commune absorbante),01-01-1973,05112,
05123,Roche-des-Arnauds,Commune se séparant,14-02-1983,05112,
05125,Romette,Fusion (commune absorbée),01-01-1975,05061,
05137,Saint-Cyrice,Fusion (commune absorbée),01-01-1969,05051,
07021,Auriolles,Fusion (commune absorbée),01-10-1972,07207,
07031,Berrias-et-Casteljau,Fusion (commune absorbante),01-07-1975,07046,
07043,Brahic,Fusion (commune absorbée),01-07-1973,07334,
07046,Casteljau,Fusion (commune absorbée),01-07-1975,07031,
07057,Chassagnes,Fusion (commune absorbée),01-07-1973,07334,
07125,Lafigère,Fusion (commune absorbée),01-07-1975,07147,
07132,Largentière,Fusion (commune absorbante),01-12-1974,07318,
07132,Largentière,Commune se séparant,01-01-1989,07318,
07147,Malarce-sur-la-Thines,Fusion (commune absorbante),01-07-1975,07125,
07147,Malarce-sur-la-Thines,Fusion (commune absorbante),01-07-1975,07320,
07164,Naves,Fusion (commune absorbée),01-07-1973,07334,
07180,Pouzat,Fusion (commune absorbée),01-07-1973,07204,
07204,Saint-Agrève,Fusion (commune absorbante),01-07-1973,07180,
07207,Saint-Alban-Auriolles,Fusion (commune absorbante),01-10-1972,07021,
07246,Saint-Jean-de-Pourcharesse,Fusion (commune absorbée),01-07-1975,07284,
07270,Saint-Martin-sur-Lavezon,Fusion (commune absorbante),01-10-1974,07271,
07271,Saint-Martin-l'Inférieur,Fusion (commune absorbée),01-10-1974,07270,
07284,Saint-Pierre-Saint-Jean,Fusion (commune absorbante),01-07-1975,07246,
07318,Tauriers,Fusion (commune absorbée),01-12-1974,07132,
07318,Tauriers,Rétablissement,01-01-1989,07132,
07320,Thines,Fusion (commune absorbée),01-07-1975,07147,
07334,Vans,Fusion (commune absorbante),01-07-1973,07043,
07334,Vans,Fusion (commune absorbante),01-07-1973,07057,
07334,Vans,Fusion (commune absorbante),01-07-1973,07164,
08002,Adon,Fusion (commune absorbée),01-03-1971,08113,
08012,Andevanne,Fusion (commune absorbée),01-01-1973,08437,
08024,Asfeld,Fusion (commune absorbante),01-01-1971,08241,
08047,Barbaise,Fusion (commune absorbée),29-12-1974,08352,
08047,Barbaise,Rétablissement,01-01-1991,08352,
08050,Barricourt,Fusion (commune absorbée),01-01-1973,08437,
08051,Bay,Fusion (commune absorbée),29-12-1973,08069,
08054,Beaulieu,Fusion (commune absorbée),01-01-1973,08319,
08057,Belleville-et-Châtillon-sur-Bar,Fusion (commune absorbante),29-12-1974,08112,
08068,Blaise,Fusion (commune absorbée),01-01-1973,08490,
08069,Blanchefosse-et-Bay,Fusion (commune absorbante),29-12-1973,08051,
08089,Buzancy,Fusion (commune absorbante),29-12-1973,08423,
08091,Cassine,Fusion (commune absorbée),01-01-1970,08469,
08093,Cerleau,Fusion (commune absorbée),01-09-1973,08344,
08112,Châtillon-sur-Bar,Fusion (commune absorbée),29-12-1974,08057,
08113,Chaumont-Porcien,Fusion (commune absorbante),01-03-1971,08002,
08113,Chaumont-Porcien,Fusion (commune absorbante),01-05-1974,08258,
08113,Chaumont-Porcien,Fusion (commune absorbante),01-05-1974,08495,
08119,Cheveuges,Commune se séparant,01-01-1986,08377,
08125,Montcornet-en-Ardenne,Fusion (commune absorbante),01-09-1973,08297,
08125,Cliron,Commune se séparant,01-01-1989,08297,
08169,Flaignes-Havys,Fusion (commune absorbante),03-03-1982,08221,
08177,Foulzy,Fusion (commune absorbée),01-09-1973,08189,
08189,Girondelle,Fusion (commune absorbante),01-09-1973,08177,
08194,Glaire,Fusion (commune absorbante),01-07-1971,08231,
08213,Hardoye,Fusion (commune absorbée),29-12-1973,08366,
08221,Havys,Fusion (commune absorbée),03-03-1982,08169,
08231,Iges,Fusion (commune absorbée),01-07-1971,08194,
08233,Imécourt,Fusion (commune absorbée),29-12-1973,08470,
08233,Imécourt,Rétablissement,01-01-1985,08470,
08241,Juzancourt,Fusion (commune absorbée),01-01-1971,08024,
08258,Logny-lès-Chaumont,Fusion (commune absorbée),01-05-1974,08113,
08265,Mainbresson,Fusion (commune absorbée),01-05-1974,08366,
08266,Mainbressy,Fusion (commune absorbée),01-05-1974,08366,
08285,Meillier-Fontaine,Fusion (commune absorbée),01-06-1974,08328,
08297,Montcornet,Fusion (commune absorbée),01-09-1973,08125,
08297,Montcornet,Rétablissement,01-01-1989,08125,
08319,Neuville-lez-Beaulieu,Fusion (commune absorbante),01-01-1973,08054,
08328,Nouzonville,Fusion (commune absorbante),01-06-1974,08285,
08333,Olizy-Primat,Fusion (commune absorbante),29-12-1974,08345,
08337,Pargny-Resson,Fusion (commune absorbée),29-12-1973,08362,
08344,Prez,Fusion (commune absorbante),01-09-1973,08093,
08345,Primat,Fusion (commune absorbée),29-12-1974,08333,
08352,Raillicourt-Barbaise,Fusion (commune absorbante),29-12-1974,08047,
08352,Raillicourt,Commune se séparant,01-01-1991,08047,
08359,Rémonville,Fusion (commune absorbée),01-01-1973,08437,
08362,Rethel,Fusion (commune absorbante),29-12-1973,08337,
08366,Rocquigny-la-Hardoye,Fusion (commune absorbante),29-12-1973,08213,
08366,Rocquigny,Fusion (commune absorbante),01-05-1974,08265,
08366,Rocquigny,Fusion (commune absorbante),01-05-1974,08266,
08377,Saint-Aignan,Rétablissement,01-01-1986,08119,
08423,Sivry-lès-Buzancy,Fusion (commune absorbée),29-12-1973,08089,
08437,Tailly,Fusion (commune absorbante),01-01-1973,08012,
08437,Tailly,Fusion (commune absorbante),01-01-1973,08050,
08437,Tailly,Fusion (commune absorbante),01-01-1973,08359,
08469,Vendresse,Fusion (commune absorbante),01-01-1970,08091,
08470,Verpel,Fusion (commune absorbante),29-12-1973,08233,
08470,Verpel,Commune se séparant,01-01-1985,08233,
08490,Vouziers,Fusion (commune absorbante),01-01-1973,08068,
08495,Wadimont,Fusion (commune absorbée),01-05-1974,08113,
09036,Banat,Fusion (commune absorbée),01-04-1973,09306,
09059,Bonac-Irazein,Fusion (commune absorbante),01-01-1971,09144,
09092,Cazenave-Serres-et-Allens,Fusion (commune absorbée),01-04-1973,09306,
09092,Cazenave-Serres-et-Allens,Rétablissement,01-01-1981,09306,
09107,Dun,Fusion (commune absorbante),01-01-1973,09112,
09107,Dun,Fusion (commune absorbante),01-01-1973,09191,
09107,Dun,Fusion (commune absorbante),01-01-1973,09288,
09112,Engraviès,Fusion (commune absorbée),01-01-1973,09107,
09144,Irazein,Fusion (commune absorbée),01-01-1971,09059,
09191,Merviel,Fusion (commune absorbée),01-01-1973,09107,
09223,Oust,Fusion (commune absorbante),15-07-1969,09333,
09248,Rogalle,Fusion (commune absorbée),01-01-1973,09299,
09264,Saint-Jean-de-Verges,Fusion (commune absorbante),01-01-1975,09337,
09288,Senesse-de-Senabugue,Fusion (commune absorbée),01-01-1973,09107,
09299,Soueix,Fusion (commune absorbante),01-01-1973,09248,
09306,Tarascon-sur-Ariège,Fusion (commune absorbante),01-04-1973,09036,
09306,Tarascon-sur-Ariège,Fusion (commune absorbante),01-04-1973,09092,
09306,Tarascon-sur-Ariège,Commune se séparant,01-01-1981,09092,
09333,Vic,Fusion (commune absorbée),15-07-1969,09223,
09337,Villeneuve-du-Bosc,Fusion (commune absorbée),01-01-1975,09264,
10001,Abbaye-sous-Plancy,Fusion (commune absorbée),01-01-1970,10289,
10019,Val-d'Auzon,Fusion (commune absorbante),01-05-1972,10244,
10019,Val-d'Auzon,Fusion (commune absorbante),01-05-1972,10413,
10036,Beauvoir-sur-Sarce,Fusion (commune absorbée),01-05-1973,10058,
10038,Bercenay-le-Hayer,Fusion (commune absorbée),01-01-1973,10054,
10038,Bercenay-le-Hayer,Rétablissement,01-01-2000,10054,
10043,Bessy,Fusion (commune absorbée),01-01-1973,10316,
10043,Bessy,Rétablissement,01-01-1990,10316,
10054,Val-d'Orvin,Fusion (commune absorbante),01-01-1973,10038,
10054,Val-d'Orvin,Fusion (commune absorbante),01-01-1973,10383,
10054,Bourdenay,Commune se séparant,01-01-2000,10383,
10054,Bourdenay,Commune se séparant,01-01-2000,10038,
10058,Bragelogne-Beauvoir,Fusion (commune absorbante),01-05-1973,10036,
10084,Charmont-sous-Barbuise,Fusion (commune absorbante),01-01-1973,10152,
10148,Ferreux-Quincey,Fusion (commune absorbante),01-01-1973,10311,
10152,Fontaine-Luyères,Fusion (commune absorbée),01-01-1973,10084,
10208,Louptière-Thénard,Fusion (commune absorbante),01-01-1970,10292,
10244,Montangon,Fusion (commune absorbée),01-05-1972,10019,
10289,Plancy-l'Abbaye,Fusion (commune absorbante),01-01-1970,10001,
10289,Plancy-l'Abbaye,Fusion (commune absorbante),01-07-1972,10407,
10292,Plessis-Gatebled,Fusion (commune absorbée),01-01-1970,10208,
10311,Quincey,Fusion (commune absorbée),01-01-1973,10148,
10314,Ramerupt,Fusion (commune absorbante),01-07-1973,10322,
10316,Rhèges-Bessy,Fusion (commune absorbante),01-01-1973,10043,
10316,Rhèges,Commune se séparant,01-01-1990,10043,
10322,Romaines,Fusion (commune absorbée),01-07-1973,10314,
10383,Trancault,Fusion (commune absorbée),01-01-1973,10054,
10383,Trancault,Rétablissement,01-01-2000,10054,
10385,Trouan-le-Grand,Fusion (commune absorbée),01-01-1973,10386,
10386,Trouans,Fusion (commune absorbante),01-01-1973,10385,
10407,Viâpres-le-Grand,Fusion (commune absorbée),01-07-1972,10289,
10413,Villehardouin,Fusion (commune absorbée),01-05-1972,10019,
11128,Escueillens-et-Saint-Just-de-Bélengard,Fusion (commune absorbante),08-04-1972,11349,
11195,Laurabuc-et-Mireval,Fusion (commune absorbante),07-06-1972,11234,
11195,Laurabuc,Commune se séparant,01-01-1989,11234,
11234,Mireval-Lauragais,Fusion (commune absorbée),07-06-1972,11195,
11234,Mireval-Lauragais,Rétablissement,01-01-1989,11195,
11349,Saint-Just-de-Bélengard,Fusion (commune absorbée),08-04-1972,11128,
12003,Albres,Fusion (commune absorbée),01-01-1975,12305,
12003,Albres,Rétablissement,07-12-1978,12305,
12056,Baraqueville,Fusion (commune absorbante),01-01-1973,12306,
12132,Loupiac,Fusion (commune absorbée),01-11-1973,12257,
12257,Causse-et-Diège,Fusion (commune absorbante),01-11-1973,12132,
12305,Viviez-les-Albres,Fusion (commune absorbante),01-01-1975,12003,
12305,Viviez,Commune se séparant,07-12-1978,12003,
12306,Vors,Fusion (commune absorbée),01-01-1973,12056,
14010,Ammeville,Fusion (commune absorbée),01-01-1973,14624,
14011,Anctoville,Fusion (commune absorbante),01-01-1973,14267,
14011,Anctoville,Fusion (commune absorbante),01-01-1973,14479,
14011,Anctoville,Fusion (commune absorbante),01-01-1973,14673,
14017,Annebecq,Fusion (commune absorbée),01-01-1973,14352,
14046,Bavent,Fusion (commune absorbante),01-01-1975,14537,
14051,Beaufour,Fusion (commune absorbée),01-01-1973,14231,
14067,Berville,Fusion (commune absorbée),01-01-1973,14624,
14068,Biéville-Beuville,Fusion (commune absorbante),01-10-1972,14072,
14071,Biéville-en-Auge,Fusion (commune absorbée),01-04-1973,14527,
14072,Biéville-sur-Orne,Fusion (commune absorbée),01-10-1972,14068,
14094,Bray-la-Campagne,Fusion (commune absorbée),01-01-1973,14268,
14108,Brocottes,Fusion (commune absorbée),01-01-1973,14335,
14112,Bully,Fusion (commune absorbée),01-01-1973,14266,
14114,Bures-sur-Dives,Fusion (commune absorbée),01-07-1972,14712,
14126,Cambremer,Fusion (commune absorbante),01-01-1973,14315,
14126,Cambremer,Fusion (commune absorbante),01-01-1973,14561,
14126,Cambremer,Fusion (commune absorbante),01-01-1973,14641,
14133,Canon,Fusion (commune absorbée),01-09-1972,14431,
14149,Cesny-aux-Vignes-Ouézy,Fusion (commune absorbante),01-01-1972,14482,
14149,Cesny-aux-Vignes,Commune se séparant,01-01-2006,14482,
14194,Courtonne-les-Deux-Églises,Fusion (commune absorbante),01-01-1973,14642,
14199,Cressonnière,Fusion (commune absorbée),01-01-1973,14621,
14219,Danvou-la-Ferrière,Fusion (commune absorbante),01-01-1973,14263,
14228,Douvres-la-Délivrande,Fusion (commune absorbante),01-01-1973,14683,
14231,Beaufour-Druval,Fusion (commune absorbante),01-01-1973,14051,
14231,Beaufour-Druval,Fusion (commune absorbante),01-01-1973,14560,
14233,Écajeul,Fusion (commune absorbée),01-01-1973,14422,
14234,Écots,Fusion (commune absorbée),01-01-1973,14624,
14247,Escures-sur-Favières,Fusion (commune absorbée),01-01-1973,14735,
14262,Ferrière-au-Doyen,Fusion (commune absorbée),01-01-1973,14629,
14263,Ferrière-Duval,Fusion (commune absorbée),01-01-1973,14219,
14266,Feuguerolles-Bully,Fusion (commune absorbante),01-01-1973,14112,
14267,Feuguerolles-sur-Seulles,Fusion (commune absorbée),01-01-1973,14011,
14268,Fierville-Bray,Fusion (commune absorbante),01-01-1973,14094,
14295,Garnetot,Fusion (commune absorbée),01-01-1973,14624,
14312,Grandcamp-Maisy,Fusion (commune absorbante),01-11-1972,14392,
14314,Grandmesnil,Fusion (commune absorbée),01-01-1973,14624,
14315,Grandouet,Fusion (commune absorbée),01-01-1973,14126,
14321,Grisy,Fusion (commune absorbée),01-01-1973,14735,
14323,Ham,Fusion (commune absorbée),01-01-1973,14335,
14333,Honfleur,Fusion (commune absorbante),01-04-1973,14725,
14335,Hotot-en-Auge,Fusion (commune absorbante),01-01-1973,14108,
14335,Hotot-en-Auge,Fusion (commune absorbante),01-01-1973,14323,
14336,Hottot-Longraye,Fusion (commune absorbante),01-12-1972,14376,
14336,Hottot-les-Bagues,Commune se séparant,01-01-1983,14376,
14340,Huppain,Fusion (commune absorbée),01-10-1972,14515,
14351,Lande-Vaumont,Fusion (commune absorbée),01-01-1973,14584,
14352,Landelles-et-Coupigny,Fusion (commune absorbante),01-01-1973,14017,
14363,Lieury,Fusion (commune absorbée),01-01-1973,14624,
14370,Molay-Littry,Fusion (commune absorbante),23-01-1969,14434,
14372,Livry,Fusion (commune absorbante),01-01-1973,14490,
14376,Longraye,Fusion (commune absorbée),01-12-1972,14336,
14376,Longraye,Rétablissement,01-01-1983,14336,
14392,Maisy,Fusion (commune absorbée),01-11-1972,14312,
14422,Mesnil-Mauger,Fusion (commune absorbante),01-01-1973,14233,
14422,Mesnil-Mauger,Fusion (commune absorbante),01-01-1973,14567,
14422,Mesnil-Mauger,Fusion (commune absorbante),01-01-1973,14617,
14431,Mézidon-Canon,Fusion (commune absorbante),01-09-1972,14133,
14434,Molay,Fusion (commune absorbée),23-01-1969,14370,
14447,Montpinçon,Fusion (commune absorbée),01-01-1973,14624,
14463,Neuilly-le-Malherbe,Fusion (commune absorbée),01-04-1972,14721,
14470,Norrey-en-Bessin,Fusion (commune absorbée),01-07-1972,14610,
14472,Notre-Dame-de-Fresnay,Fusion (commune absorbée),01-01-1973,14624,
14479,Orbois,Fusion (commune absorbée),01-01-1973,14011,
14482,Ouézy,Fusion (commune absorbée),01-01-1972,14149,
14482,Ouézy,Rétablissement,01-01-2006,14149,
14490,Parfouru-l'Éclin,Fusion (commune absorbée),01-01-1973,14372,
14507,Pleines-OEuvres,Fusion (commune absorbée),01-05-1973,14513,
14513,Pont-Farcy,Fusion (commune absorbante),01-05-1973,14507,
14515,Port-en-Bessin-Huppain,Fusion (commune absorbante),01-10-1972,14340,
14526,Quesnay-Guesnon,Fusion (commune absorbée),01-01-1975,14695,
14527,Biéville-Quétiéville,Fusion (commune absorbante),01-04-1973,14071,
14537,Robehomme,Fusion (commune absorbée),01-01-1975,14046,
14560,Saint-Aubin-Lébizay,Fusion (commune absorbée),01-01-1973,14231,
14561,Saint-Aubin-sur-Algot,Fusion (commune absorbée),01-01-1973,14126,
14567,Saint-Crespin,Fusion (commune absorbée),01-01-1973,14422,
14584,Saint-Germain-de-Tallevende-la-Lande-Vaumont,Fusion (commune absorbante),01-01-1973,14351,
14610,Saint-Manvieu-Norrey,Fusion (commune absorbante),01-07-1972,14470,
14617,Sainte-Marie-aux-Anglais,Fusion (commune absorbée),01-01-1973,14422,
